id,PROB
652045542423007240,0.8518
646977449405452552,0.4516
651321866186657800,0.8381
650449498627117064,0.7912
641000899610677512,0.7206
649778905921622280,0.4790
642568774259577096,0.4914
652934919781093640,0.8228
649180127745282056,0.6504
644835860423905288,0.4359
644829307092341000,0.3298
639812184095854600,0.8915
645442917728522248,0.5311
640300588373905416,0.3043
652847022402965512,0.2816
651964193829818632,0.7421
646252469109657864,0.3998
649850338483900424,0.8127
647783637885915400,0.3939
650632474300256520,0.7918
641985374331080968,0.5918
647596205118853384,0.6922
652769287898927112,0.2793
643462811069976840,0.6333
651310747170639880,0.4283
652865584001716232,0.6842
639761122244694024,0.7809
647621603793834248,0.9229
652245341483045128,0.5609
641751029800505352,0.9077
648407055215890696,0.5421
649778686500802824,0.2692
646166688126996488,0.5296
652854070050033928,0.4116
652670615227994120,0.8538
642586215551340808,0.4569
639247654626267144,0.4202
650127315161845768,0.8158
648224148069289992,0.3014
647927782935892232,0.6474
646157793258115080,0.4881
641921870311985160,0.4861
645485814553252104,0.2786
647707304195526920,0.7080
642526940346978568,0.7829
639736798502719496,0.3782
646855797954842632,0.4870
648446001417294088,0.4382
649177369126375432,0.5108
648604435135598856,0.9291
650065282244546824,0.6909
651412971477537032,0.8682
651421033022099720,0.7475
639669110732493064,0.6792
650410777240408328,0.8695
651336789805502728,0.8902
646050376511918344,0.7646
639650828902207752,0.2509
646908651973382152,0.7652
640993640360972552,0.6242
644070737744761096,0.9170
644891353464967432,0.5293
652665940164481032,0.6848
641289024538939656,0.3177
647820759607021576,0.1264
646301799703121928,0.7355
652846425176018952,0.5720
645548620682105096,0.8224
650833747255496712,0.4756
652602551446802696,0.3710
639858249725645064,0.1434
651287241972256776,0.5851
644237097170898952,0.2640
647157071808041224,0.4850
649351254576730376,0.4073
641996540172308488,0.4878
649952587805626632,0.8944
650522323480219912,0.7467
639688245575160072,0.7699
639502671169982728,0.3710
649098039637577992,0.8413
640697481344061704,0.8150
646269755816153096,0.5275
649013301576995080,0.5063
648521416840318984,0.7264
642858428724678920,0.7481
641229342193487880,0.8418
647854402228457480,0.4047
651343669319700744,0.8543
644450136960798984,0.5691
648599658116943880,0.5338
652065227575136520,0.3813
639811149252005896,0.7403
649454306486915080,0.5378
647095193652171016,0.7665
652039791411466248,0.4804
649912203217997832,0.7006
643823869785804808,0.8188
645426528586305544,0.4519
644056450250838024,0.6755
652085033867153416,0.7092
651807347269701640,0.8871
642480833621397512,0.3922
647877404143915272,0.3997
642684195876901128,0.5196
642078380295983368,0.7166
645441430092779784,0.5807
649092118756725000,0.7308
639792165345562888,0.8157
644274635671605256,0.5029
645806078755344648,0.7559
647819061132005384,0.8368
644194458312642568,0.5531
651810289364242696,0.4896
652547111849562120,0.4863
640710648648438024,0.7057
647716125479538952,0.7808
647625759988388104,0.4087
644807270554669064,0.3812
651925124945022984,0.3744
649695402286649608,0.5014
646978188181770248,0.4955
652039793374400520,0.7725
648504401463349256,0.7522
645295168781553672,0.2155
642084948584435720,0.9151
642513648513716232,0.3567
652706856271089928,0.2174
652851069570781448,0.6367
649761080431612168,0.4790
645346015154540808,0.9075
643386335100407816,0.5269
644022895315521544,0.5406
641142679199027208,0.5918
640490840191406344,0.2787
652107777983909896,0.4745
652113942939701512,0.7880
641745937529573384,0.4522
648540874753446152,0.6658
647840969483358216,0.4717
639849992063815944,0.5705
640777837019664648,0.4149
641184895707648264,0.4962
644638868586369288,0.6908
652767846517968904,0.5326
641704194247495688,0.3827
650595264632983816,0.7365
644774672491089928,0.3697
641843958112063496,0.7828
641278634367127560,0.6013
642827471858700296,0.7432
641940695497576712,0.1388
642858898058907912,0.7232
650071521246580744,0.5004
643362686230335752,0.1468
649701107672551432,0.5971
650446164818137352,0.2628
639718745035509768,0.8441
641006867652284680,0.6937
641218369156026376,0.7705
640389709087903752,0.4267
646219885440930056,0.6447
649795980262117640,0.7756
652774569970503944,0.5369
648507065953685768,0.4038
641203154628644872,0.8396
641877174541881608,0.5708
649052387255783432,0.5015
642781455402930440,0.6714
639471994332516360,0.2969
650510556687503624,0.2779
645615332991438856,0.8570
647885220078424328,0.7824
650529184715640840,0.5279
641925289626046728,0.5404
652832821529809160,0.3465
641185135814774792,0.6178
641008477451325448,0.6870
649926511264010248,0.5462
652291779751579656,0.3865
647230505850245384,0.7464
647060952084123656,0.2101
645486652860403976,0.8021
651350643381899528,0.4055
652769580652957960,0.4559
645575055098515720,0.7360
647935793175728392,0.2018
648274885457481992,0.6780
641040802801258504,0.3651
642239887205994760,0.7910
648979670406008840,0.9036
652907775042523144,0.5533
651314055671189512,0.7116
652057380107849992,0.5516
641116208401223688,0.7881
645117548345430280,0.6455
647598494571303176,0.3095
652574928750514184,0.5632
649735297742934280,0.7956
641236006321786888,0.6551
642068187323568136,0.8739
642055303319261448,0.0978
645362107147096072,0.5310
648421877718454536,0.4704
648515877456580872,0.1330
649699300380512520,0.3516
641336676991373320,0.1822
641226595469627400,0.4121
648494207048093704,0.2881
652165638667636744,0.5206
640935231372660744,0.5403
646150964385943560,0.5246
650398557211201800,0.7179
649132428526358536,0.7516
646760490944434440,0.4845
