id,PROB
652045542423007240,0.0980
646977449405452552,0.0260
651321866186657800,0.1012
650449498627117064,0.0874
641000899610677512,0.0573
649778905921622280,0.0278
642568774259577096,0.0268
652934919781093640,0.1301
649180127745282056,0.0697
644835860423905288,0.0370
644829307092341000,0.0175
639812184095854600,0.3274
645442917728522248,0.0272
640300588373905416,0.0208
652847022402965512,0.0107
651964193829818632,0.0882
646252469109657864,0.0181
649850338483900424,0.1025
647783637885915400,0.0292
650632474300256520,0.0838
641985374331080968,0.0359
647596205118853384,0.0572
652769287898927112,0.0273
643462811069976840,0.0480
651310747170639880,0.0218
652865584001716232,0.0709
639761122244694024,0.0744
647621603793834248,0.2279
652245341483045128,0.0350
641751029800505352,0.2257
648407055215890696,0.0395
649778686500802824,0.0143
646166688126996488,0.0254
652854070050033928,0.0283
652670615227994120,0.1555
642586215551340808,0.0222
639247654626267144,0.0220
650127315161845768,0.1089
648224148069289992,0.0154
647927782935892232,0.0983
646157793258115080,0.0287
641921870311985160,0.0301
645485814553252104,0.0212
647707304195526920,0.0651
642526940346978568,0.0739
639736798502719496,0.0225
646855797954842632,0.0256
648446001417294088,0.0253
649177369126375432,0.0302
648604435135598856,0.2515
650065282244546824,0.0547
651412971477537032,0.1201
651421033022099720,0.0849
639669110732493064,0.0504
650410777240408328,0.1218
651336789805502728,0.1887
646050376511918344,0.0836
639650828902207752,0.0200
646908651973382152,0.0725
640993640360972552,0.0497
644070737744761096,0.2425
644891353464967432,0.0364
652665940164481032,0.0644
641289024538939656,0.0185
647820759607021576,0.0152
646301799703121928,0.0674
652846425176018952,0.0369
645548620682105096,0.0891
650833747255496712,0.0324
652602551446802696,0.0242
639858249725645064,0.0211
651287241972256776,0.0387
644237097170898952,0.0213
647157071808041224,0.0265
649351254576730376,0.0287
641996540172308488,0.0291
649952587805626632,0.1858
650522323480219912,0.0714
639688245575160072,0.0862
639502671169982728,0.0230
649098039637577992,0.1241
640697481344061704,0.0880
646269755816153096,0.0353
649013301576995080,0.0301
648521416840318984,0.0631
642858428724678920,0.0736
641229342193487880,0.1686
647854402228457480,0.0296
651343669319700744,0.1270
644450136960798984,0.0307
648599658116943880,0.0307
652065227575136520,0.0296
639811149252005896,0.0630
649454306486915080,0.0295
647095193652171016,0.0869
652039791411466248,0.0261
649912203217997832,0.0607
643823869785804808,0.1213
645426528586305544,0.0315
644056450250838024,0.0534
652085033867153416,0.0639
651807347269701640,0.3375
642480833621397512,0.0212
647877404143915272,0.0337
642684195876901128,0.0280
642078380295983368,0.0743
645441430092779784,0.0427
